26-May-24 17:40:48 - root - INFO - Starting run.py
26-May-24 17:40:48 - root - INFO - Using default config path : config/default.toml
26-May-24 17:40:48 - root - INFO - Player 1 is using alpha_beta and Player 2 is using human
26-May-24 17:40:49 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:40:49] "GET /index.html HTTP/1.1" 200 3251 0.001002
26-May-24 17:40:49 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:40:49] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:40:49 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:40:49] "GET /css/index.css HTTP/1.1" 200 4565 0.000000
26-May-24 17:40:49 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:40:49] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.001001
26-May-24 17:40:49 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:40:49] "GET /js/index.js HTTP/1.1" 200 8565 0.000000
26-May-24 17:41:17 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:41:17] "GET /index.html HTTP/1.1" 200 3311 0.011116
26-May-24 17:41:17 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:41:17] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:41:17 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:41:17] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.001000
26-May-24 17:41:17 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:41:17] "GET /css/index.css HTTP/1.1" 200 4565 0.000999
26-May-24 17:41:17 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:41:17] "GET /js/index.js HTTP/1.1" 200 8565 0.000000
26-May-24 17:41:23 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:41:23] "GET /index.html HTTP/1.1" 200 3311 0.008512
26-May-24 17:41:23 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:41:23] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:41:23 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:41:23] "GET /css/index.css HTTP/1.1" 200 4565 0.000000
26-May-24 17:41:23 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:41:23] "GET /js/index.js HTTP/1.1" 200 8565 0.000000
26-May-24 17:41:23 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:41:23] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.001001
26-May-24 17:41:46 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:41:46] "GET /index.html HTTP/1.1" 200 3311 0.000000
26-May-24 17:41:46 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:41:46] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:41:46 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:41:46] "GET /css/index.css HTTP/1.1" 200 4847 0.007010
26-May-24 17:41:46 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:41:46] "GET /js/index.js HTTP/1.1" 200 8565 0.001508
26-May-24 17:41:46 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:41:46] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.001010
26-May-24 17:42:01 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:01] "GET /index.html HTTP/1.1" 200 3311 0.000997
26-May-24 17:42:01 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:01] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:42:01 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:01] "GET /css/index.css HTTP/1.1" 200 4934 0.010253
26-May-24 17:42:01 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:01] "GET /js/index.js HTTP/1.1" 200 8565 0.000998
26-May-24 17:42:01 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:01] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.001002
26-May-24 17:42:07 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:07] "GET /index.html HTTP/1.1" 200 3311 0.000000
26-May-24 17:42:07 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:07] "GET /eel.js HTTP/1.1" 200 6267 0.000000
26-May-24 17:42:07 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:07] "GET /css/index.css HTTP/1.1" 200 4921 0.005997
26-May-24 17:42:07 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:07] "GET /js/index.js HTTP/1.1" 200 8565 0.000514
26-May-24 17:42:07 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:07] "GET /js/sweetalert.min.js HTTP/1.1" 200 41018 0.000000
26-May-24 17:42:12 - geventwebsocket.handler - INFO - 127.0.0.1 - - [2024-05-26 17:42:12] "GET /index.html HTTP/1.1" 200 3311 0.000000
